famille,pg_id,gamme,alias,pg_level,pg_top,g_level_estime,keyword,avg_monthly_searches,competition,competition_index
"Freinage",387,"Pompe à vide de freinage",pompe-a-vide-de-freinage,2,0,G3,"pompe à vide de freinage",0,UNKNOWN,0
"Freinage",73,"Répartiteur de frein",repartiteur-de-frein,2,0,G3,"répartiteur de frein",0,UNKNOWN,0
"Freinage",74,"Servo frein",servo-frein,1,0,G2,"servo frein",0,UNKNOWN,0
"Freinage",123,"Tambour de frein",tambour-de-frein,1,0,G2,"tambour de frein",0,UNKNOWN,0
"Freinage",407,"Témoin d'usure",temoin-d-usure,1,0,G2,"témoin d'usure",0,UNKNOWN,0
"Freinage",54,"Vis de disque",vis-de-disque,2,0,G3,"vis de disque",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",1123,"Chaîne de distribution",chaine-de-distribution,1,0,G2,"chaîne de distribution",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",10,"Courroie d'accessoire",courroie-d-accessoire,1,1,G1,"courroie d'accessoire",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",306,"Courroie de distribution",courroie-de-distribution,1,1,G1,"courroie de distribution",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",312,"Galet enrouleur de courroie d'accessoire",galet-enrouleur-de-courroie-d-accessoire,1,0,G2,"galet enrouleur de courroie d'accessoire",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",313,"Galet enrouleur de courroie de distribution",galet-enrouleur-de-courroie-de-distribution,2,0,G3,"galet enrouleur de courroie de distribution",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",310,"Galet tendeur de courroie d'accessoire",galet-tendeur-de-courroie-d-accessoire,1,0,G2,"galet tendeur de courroie d'accessoire",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",308,"Galet tendeur de courroie de distribution",galet-tendeur-de-courroie-de-distribution,2,0,G3,"galet tendeur de courroie de distribution",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",1389,"Kit de chaîne de distribution",kit-de-chaine-de-distribution,1,0,G2,"kit de chaîne de distribution",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",307,"Kit de distribution",kit-de-distribution,1,1,G1,"kit de distribution",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",1260,"Pompe à eau",pompe-a-eau,1,1,G1,"pompe à eau",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",1108,"Poulie d'alternateur",poulie-d-alternateur,1,0,G2,"poulie d'alternateur",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",1067,"Poulie d'arbre à came",poulie-d-arbre-a-came,1,0,G2,"poulie d'arbre à came",0,UNKNOWN,0
"Courroie, galet, poulie et chaîne",3213,"Poulie vilebrequin",poulie-vilebrequin,1,0,G2,"poulie vilebrequin",0,UNKNOWN,0
"Préchauffage et allumage",689,"Bobine d'allumage",bobine-d-allumage,1,0,G2,"bobine d'allumage",0,UNKNOWN,0
"Préchauffage et allumage",1750,"Boîtier de préchauffage",boitier-de-prechauffage,1,0,G2,"boîtier de préchauffage",0,UNKNOWN,0
"Préchauffage et allumage",686,"Bougie d'allumage",bougie-d-allumage,1,1,G1,"bougie d'allumage",0,UNKNOWN,0
"Préchauffage et allumage",243,"Bougie de préchauffage",bougie-de-prechauffage,1,1,G1,"bougie de préchauffage",0,UNKNOWN,0
"Préchauffage et allumage",683,"Distributeur d'allumage",distributeur-d-allumage,2,0,G3,"distributeur d'allumage",0,UNKNOWN,0
"Préchauffage et allumage",685,"Faisceau d'allumage",faisceau-d-allumage,1,0,G2,"faisceau d'allumage",0,UNKNOWN,0
"Préchauffage et allumage",1218,"Module d'allumage",module-d-allumage,2,0,G3,"module d'allumage",0,UNKNOWN,0
"Direction et liaison au sol",130,"Amortisseur de direction",amortisseur-de-direction,2,0,G3,"amortisseur de direction",0,UNKNOWN,0
"Direction et liaison au sol",285,"Barre de direction",barre-de-direction,1,0,G2,"barre de direction",0,UNKNOWN,0
"Direction et liaison au sol",274,"Barre stabilisatrice",barre-stabilisatrice,2,0,G3,"barre stabilisatrice",0,UNKNOWN,0
"Direction et liaison au sol",3230,"Biellette de barre stabilisatrice",biellette-de-barre-stabilisatrice,1,0,G2,"biellette de barre stabilisatrice",0,UNKNOWN,0
"Direction et liaison au sol",273,"Bras de suspension",bras-de-suspension,1,1,G1,"bras de suspension",0,UNKNOWN,0
"Direction et liaison au sol",1211,"Colonne de direction",colonne-de-direction,1,0,G2,"colonne de direction",0,UNKNOWN,0
"Direction et liaison au sol",286,"Crémaillière de direction",cremailliere-de-direction,1,0,G2,"crémaillière de direction",0,UNKNOWN,0
"Direction et liaison au sol",3252,"Détecteur de l'angle de braquage",detecteur-de-l-angle-de-braquage,2,0,G3,"détecteur de l'angle de braquage",0,UNKNOWN,0
"Direction et liaison au sol",653,"Moyeu de roue",moyeu-de-roue,2,0,G3,"moyeu de roue",0,UNKNOWN,0
"Direction et liaison au sol",12,"Pompe de direction assistée",pompe-de-direction-assistee,1,0,G2,"pompe de direction assistée",0,UNKNOWN,0
"Direction et liaison au sol",2066,"Rotule de direction",rotule-de-direction,1,1,G1,"rotule de direction",0,UNKNOWN,0
"Direction et liaison au sol",2462,"Rotule de suspension",rotule-de-suspension,1,1,G1,"rotule de suspension",0,UNKNOWN,0
"Direction et liaison au sol",655,"Roulement de roue",roulement-de-roue,1,0,G2,"roulement de roue",0,UNKNOWN,0
"Direction et liaison au sol",191,"Soufflet de direction",soufflet-de-direction,1,0,G2,"soufflet de direction",0,UNKNOWN,0
"Amortisseur et suspension",854,"Amortisseur",amortisseur,1,1,G1,"amortisseur",0,UNKNOWN,0
"Amortisseur et suspension",1182,"Butée élastique d'amortisseur",butee-elastique-d-amortisseur,1,0,G2,"butée élastique d'amortisseur",0,UNKNOWN,0
"Amortisseur et suspension",1632,"Kit de butée de suspension",kit-de-butee-de-suspension,1,0,G2,"kit de butée de suspension",0,UNKNOWN,0
"Amortisseur et suspension",188,"Ressort de suspension",ressort-de-suspension,1,0,G2,"ressort de suspension",0,UNKNOWN,0
"Amortisseur et suspension",1718,"Sphère de suspension",sphere-de-suspension,2,0,G3,"sphère de suspension",0,UNKNOWN,0
"Support moteur",249,"Support de boîte vitesse",support-de-boite-vitesse,1,0,G2,"support de boîte vitesse",0,UNKNOWN,0
"Support moteur",247,"Support moteur",support-moteur,1,1,G1,"support moteur",0,UNKNOWN,0
"Embrayage",48,"Butée d'embrayage",butee-d-embrayage,1,0,G2,"butée d'embrayage",0,UNKNOWN,0
"Embrayage",478,"Câble d'embrayage",cable-d-embrayage,1,0,G2,"câble d'embrayage",0,UNKNOWN,0
"Embrayage",234,"Emetteur d'embrayage",emetteur-d-embrayage,1,0,G2,"emetteur d'embrayage",0,UNKNOWN,0
"Embrayage",3419,"Fourchette d'embrayage",fourchette-d-embrayage,2,0,G3,"fourchette d'embrayage",0,UNKNOWN,0
"Embrayage",4688,"Guide d'embrayage",guide-d-embrayage,2,0,G3,"guide d'embrayage",0,UNKNOWN,0
"Embrayage",479,"Kit d'embrayage",kit-d-embrayage,1,1,G1,"kit d'embrayage",0,UNKNOWN,0
"Embrayage",620,"Récepteur d'embrayage",recepteur-d-embrayage,1,0,G2,"récepteur d'embrayage",0,UNKNOWN,0
"Embrayage",1650,"Tringle de vitesses",tringle-de-vitesses,2,0,G3,"tringle de vitesses",0,UNKNOWN,0
"Embrayage",577,"Volant moteur",volant-moteur,1,0,G2,"volant moteur",0,UNKNOWN,0
"Transmission",624,"Bague d'étanchéité cardan",bague-d-etancheite-cardan,2,0,G3,"bague d'étanchéité cardan",0,UNKNOWN,0
"Transmission",13,"Cardan",cardan,1,1,G1,"cardan",0,UNKNOWN,0
"Transmission",1427,"Joint arbre longitudinal",joint-arbre-longitudinal,2,0,G3,"joint arbre longitudinal",0,UNKNOWN,0
"Transmission",2109,"Palier d'arbre de transmission",palier-d-arbre-de-transmission,2,0,G3,"palier d'arbre de transmission",0,UNKNOWN,0
"Transmission",193,"Soufflet de Cardan",soufflet-de-cardan,1,0,G2,"soufflet de cardan",0,UNKNOWN,0
"Transmission",1147,"Trépied arbre de commande",trepied-arbre-de-commande,2,0,G3,"trépied arbre de commande",0,UNKNOWN,0
"Système électrique",4,"Alternateur",alternateur,1,1,G1,"alternateur",0,UNKNOWN,0
"Système électrique",682,"Contacteur démarreur",contacteur-demarreur,2,0,G3,"contacteur démarreur",0,UNKNOWN,0
"Système électrique",2,"Démarreur",demarreur,1,1,G1,"démarreur",0,UNKNOWN,0
"Système électrique",1367,"Neiman",neiman,1,0,G2,"neiman",0,UNKNOWN,0
"Capteurs",412,"Capteur ABS",capteur-abs,1,0,G2,"capteur abs",0,UNKNOWN,0
"Capteurs",3921,"Capteur de cognement",capteur-de-cognement,1,0,G2,"capteur de cognement",0,UNKNOWN,0
"Capteurs",3908,"Capteur de pédale d'accélérateur",capteur-de-pedale-d-accelerateur,2,0,G3,"capteur de pédale d'accélérateur",0,UNKNOWN,0
"Capteurs",3996,"Capteur de pression Common Rail",capteur-de-pression-common-rail,2,0,G3,"capteur de pression common rail",0,UNKNOWN,0
"Capteurs",4813,"Capteur impulsion",capteur-impulsion,1,0,G2,"capteur impulsion",0,UNKNOWN,0
"Capteurs",1289,"Capteur niveau d'huile moteur",capteur-niveau-d-huile-moteur,1,0,G2,"capteur niveau d'huile moteur",0,UNKNOWN,0
"Capteurs",817,"Capteur pression de carburant",capteur-pression-de-carburant,1,0,G2,"capteur pression de carburant",0,UNKNOWN,0
"Capteurs",4272,"Capteur pression de gaz d'échappement",capteur-pression-de-gaz-d-echappement,2,0,G3,"capteur pression de gaz d'échappement",0,UNKNOWN,0
"Capteurs",3947,"Capteur pression du tuyau d'admission",capteur-pression-du-tuyau-d-admission,1,0,G2,"capteur pression du tuyau d'admission",0,UNKNOWN,0
"Capteurs",4175,"Capteur pression et température d'huile",capteur-pression-et-temperature-d-huile,1,0,G2,"capteur pression et température d'huile",0,UNKNOWN,0
"Capteurs",3939,"Capteur température d'air admission",capteur-temperature-d-air-admission,1,0,G2,"capteur température d'air admission",0,UNKNOWN,0
"Capteurs",3890,"Electrovanne",electrovanne,2,0,G3,"electrovanne",0,UNKNOWN,0
"Capteurs",806,"Interrupteur des feux de freins",interrupteur-des-feux-de-freins,1,0,G2,"interrupteur des feux de freins",0,UNKNOWN,0
"Capteurs",2197,"Interrupteur position de marche",interrupteur-position-de-marche,2,0,G3,"interrupteur position de marche",0,UNKNOWN,0
"Capteurs",805,"Pressostat d'huile",pressostat-d-huile,1,0,G2,"pressostat d'huile",0,UNKNOWN,0
"Capteurs",830,"Sonde de refroidissement",sonde-de-refroidissement,1,0,G2,"sonde de refroidissement",0,UNKNOWN,0
"Capteurs",3922,"Sonde lambda",sonde-lambda,1,0,G2,"sonde lambda",0,UNKNOWN,0
"Capteurs",1298,"Valve de réglage du ralenti",valve-de-reglage-du-ralenti,1,0,G2,"valve de réglage du ralenti",0,UNKNOWN,0
"Système d'alimentation",1303,"Accumulateur de pression de carburant",accumulateur-de-pression-de-carburant,2,0,G3,"accumulateur de pression de carburant",0,UNKNOWN,0
"Système d'alimentation",158,"Boîtier papillon",corps-papillon,1,0,G2,"boîtier papillon",0,UNKNOWN,0
"Système d'alimentation",3916,"Conduite à haute pression d'injection",conduite-a-haute-pression-d-injection,2,0,G3,"conduite à haute pression d'injection",0,UNKNOWN,0
"Système d'alimentation",3927,"Débitmètre d'air",debitmetre-d-air,1,1,G1,"débitmètre d'air",0,UNKNOWN,0
"Système d'alimentation",3902,"Injecteur",injecteur,1,0,G2,"injecteur",0,UNKNOWN,0
"Système d'alimentation",3894,"Joint d'injecteur",joint-d-injecteur,1,0,G2,"joint d'injecteur",0,UNKNOWN,0
"Système d'alimentation",3893,"Joint de pompe d'injection",joint-de-pompe-d-injection,2,0,G3,"joint de pompe d'injection",0,UNKNOWN,0
"Système d'alimentation",903,"Pompe à air",pompe-a-air,2,0,G3,"pompe à air",0,UNKNOWN,0
"Système d'alimentation",458,"Pompe à carburant",pompe-a-carburant,1,1,G1,"pompe à carburant",0,UNKNOWN,0
"Système d'alimentation",3918,"Pompe à haute pression",pompe-a-haute-pression,2,0,G3,"pompe à haute pression",0,UNKNOWN,0
"Système d'alimentation",3904,"Pompe à injection",pompe-a-injection,2,0,G3,"pompe à injection",0,UNKNOWN,0
"Système d'alimentation",862,"Pompe d'amorcage",pompe-d-amorcage,2,0,G3,"pompe d'amorcage",0,UNKNOWN,0
"Système d'alimentation",3640,"Refroidisseur de carburant",refroidisseur-de-carburant,2,0,G3,"refroidisseur de carburant",0,UNKNOWN,0
"Système d'alimentation",168,"Régulateur de pression carburant",regulateur-de-pression-carburant,2,0,G3,"régulateur de pression carburant",0,UNKNOWN,0
"Système d'alimentation",904,"Soupape d'air secondaire",soupape-d-air-secondaire,2,0,G3,"soupape d'air secondaire",0,UNKNOWN,0
"Système d'alimentation",1136,"Soupape d'aspiration d'air secondaire",soupape-d-aspiration-d-air-secondaire,2,0,G3,"soupape d'aspiration d'air secondaire",0,UNKNOWN,0
"Système d'alimentation",5656,"Soupape de rampe commune d'injection",soupape-de-rampe-commune-d-injection,2,0,G3,"soupape de rampe commune d'injection",0,UNKNOWN,0
"Système d'alimentation",1137,"Soupape réaspiration des gaz d'échappement",soupape-reaspiration-des-gaz-d-echappement,2,0,G3,"soupape réaspiration des gaz d'échappement",0,UNKNOWN,0
"Système d'alimentation",3964,"Tube de distributeur carburant",tube-de-distributeur-carburant,2,0,G3,"tube de distributeur carburant",0,UNKNOWN,0
"Système d'alimentation",3937,"Tuyau carburant de fuite",tuyau-carburant-de-fuite,2,0,G3,"tuyau carburant de fuite",0,UNKNOWN,0
"Système d'alimentation",1145,"Vanne EGR",vanne-egr,1,1,G1,"vanne egr",0,UNKNOWN,0
"Moteur",566,"Arbre à came",arbre-a-came,2,0,G3,"arbre à came",0,UNKNOWN,0
"Moteur",626,"Bague d'étanchéité boîte automatique",bague-d-etancheite-boite-automatique,2,0,G3,"bague d'étanchéité boîte automatique",0,UNKNOWN,0
"Moteur",3874,"Bagues d'étanchéité moteur",bagues-d-etancheite-moteur,1,0,G2,"bagues d'étanchéité moteur",0,UNKNOWN,0
"Moteur",593,"Bouchon de vidange",bouchon-de-vidange,2,0,G3,"bouchon de vidange",0,UNKNOWN,0
"Moteur",592,"Carter d'huile",carter-d-huile,1,0,G2,"carter d'huile",0,UNKNOWN,0
"Moteur",432,"Culbuteur",culbuteur,2,0,G3,"culbuteur",0,UNKNOWN,0
"Moteur",2197,"Interrupteur position de marche",interrupteur-position-de-marche,2,0,G3,"interrupteur position de marche",0,UNKNOWN,0
"Moteur",599,"Jauge de niveau d'huile",jauge-de-niveau-d-huile,2,0,G3,"jauge de niveau d'huile",0,UNKNOWN,0
"Moteur",568,"Joint carter de distribution",joint-carter-de-distribution,2,0,G3,"joint carter de distribution",0,UNKNOWN,0
"Moteur",128,"Joint chemise de cylindre",joint-chemise-de-cylindre,2,0,G3,"joint chemise de cylindre",0,UNKNOWN,0
"Moteur",146,"Joint de boîte vitesse",joint-de-boite-vitesse,2,0,G3,"joint de boîte vitesse",0,UNKNOWN,0
"Moteur",321,"Joint de cache culbuteurs",joint-de-cache-culbuteurs,1,0,G2,"joint de cache culbuteurs",0,UNKNOWN,0
"Moteur",455,"Joint de carter d'huile",joint-de-carter-d-huile,2,0,G3,"joint de carter d'huile",0,UNKNOWN,0
"Moteur",40,"Joint de collecteur",joint-de-collecteur,1,0,G2,"joint de collecteur",0,UNKNOWN,0
"Moteur",318,"Joint de culasse",joint-de-culasse,1,0,G2,"joint de culasse",0,UNKNOWN,0
"Moteur",322,"Joint tige de soupape",joint-tige-de-soupape,2,0,G3,"joint tige de soupape",0,UNKNOWN,0
"Moteur",3320,"Kit de poussoir culbuteur",kit-de-poussoir-culbuteur,2,0,G3,"kit de poussoir culbuteur",0,UNKNOWN,0
"Moteur",3072,"Mécatronique boîte automatique",mecatronique-boite-automatique,2,0,G3,"mécatronique boîte automatique",0,UNKNOWN,0
"Moteur",560,"Pochette joints moteur",pochette-joints-moteur,2,0,G3,"pochette joints moteur",0,UNKNOWN,0
"Moteur",596,"Pompe à huile",pompe-a-huile,2,0,G3,"pompe à huile",0,UNKNOWN,0
"Moteur",1216,"Poussoir de soupape",poussoir-de-soupape,1,0,G2,"poussoir de soupape",0,UNKNOWN,0
"Moteur",469,"Radiateur d'huile",radiateur-d-huile,2,0,G3,"radiateur d'huile",0,UNKNOWN,0
"Moteur",1269,"Soupape d'admission",soupape-d-admission,1,0,G2,"soupape d'admission",0,UNKNOWN,0
"Moteur",1270,"Soupape d'échappement",soupape-d-echappement,1,0,G2,"soupape d'échappement",0,UNKNOWN,0
"Moteur",1533,"Vis de culasse",vis-de-culasse,1,0,G2,"vis de culasse",0,UNKNOWN,0
"Refroidissement",548,"Bouchon de radiateur",bouchon-de-radiateur,2,0,G3,"bouchon de radiateur",0,UNKNOWN,0
"Refroidissement",56,"Bouchon vase d'expansion",bouchon-vase-d-expansion,2,0,G3,"bouchon vase d'expansion",0,UNKNOWN,0
"Refroidissement",3219,"Bride de liquide de refroidissement",bride-de-liquide-de-refroidissement,2,0,G3,"bride de liquide de refroidissement",0,UNKNOWN,0
"Refroidissement",1385,"Commande de ventilation",commande-de-ventilation,1,0,G2,"commande de ventilation",0,UNKNOWN,0
"Refroidissement",475,"Durite de refroidissement",durite-de-refroidissement,1,0,G2,"durite de refroidissement",0,UNKNOWN,0
"Refroidissement",792,"Moteur électrique de ventilateur",moteur-electrique-de-ventilateur,2,0,G3,"moteur électrique de ventilateur",0,UNKNOWN,0
"Refroidissement",1260,"Pompe à eau",pompe-a-eau,1,1,G1,"pompe à eau",0,UNKNOWN,0
"Refroidissement",2669,"Pulseur d'air d'habitacle",pulseur-d-air-d-habitacle,1,0,G2,"pulseur d'air d'habitacle",0,UNKNOWN,0
"Refroidissement",467,"Radiateur de chauffage",radiateur-de-chauffage,1,0,G2,"radiateur de chauffage",0,UNKNOWN,0
"Refroidissement",470,"Radiateur de refroidissement",radiateur-de-refroidissement,1,1,G1,"radiateur de refroidissement",0,UNKNOWN,0
"Refroidissement",830,"Sonde de refroidissement",sonde-de-refroidissement,1,0,G2,"sonde de refroidissement",0,UNKNOWN,0
"Refroidissement",316,"Thermostat",thermostat,1,0,G2,"thermostat",0,UNKNOWN,0
"Refroidissement",397,"Vase d'expansion",vase-d-expansion,2,0,G3,"vase d'expansion",0,UNKNOWN,0
"Refroidissement",508,"Ventilateur de refroidissement",ventilateur-de-refroidissement,1,0,G2,"ventilateur de refroidissement",0,UNKNOWN,0
"Climatisation",851,"Bouteille déshydratante",bouteille-deshydratante,1,0,G2,"bouteille déshydratante",0,UNKNOWN,0
"Climatisation",2054,"Capteur température de climatisation",capteur-temperature-de-climatisation,1,0,G2,"capteur température de climatisation",0,UNKNOWN,0
"Climatisation",1385,"Commande de ventilation",commande-de-ventilation,1,0,G2,"commande de ventilation",0,UNKNOWN,0
"Climatisation",447,"Compresseur de climatisation",compresseur-de-climatisation,1,1,G1,"compresseur de climatisation",0,UNKNOWN,0
"Climatisation",448,"Condenseur de climatisation",condenseur-de-climatisation,1,0,G2,"condenseur de climatisation",0,UNKNOWN,0
"Climatisation",2094,"Conduite de climatisation",conduite-de-climatisation,2,0,G3,"conduite de climatisation",0,UNKNOWN,0
"Climatisation",183,"Détendeur de climatisation",detendeur-de-climatisation,1,0,G2,"détendeur de climatisation",0,UNKNOWN,0
"Climatisation",471,"Evaporateur de climatisation",evaporateur-de-climatisation,1,0,G2,"evaporateur de climatisation",0,UNKNOWN,0
"Climatisation",424,"Filtre d'habitacle",filtre-d-habitacle,1,0,G2,"filtre d'habitacle",0,UNKNOWN,0
"Climatisation",2408,"Gicleur détendeur",gicleur-detendeur,2,0,G3,"gicleur détendeur",0,UNKNOWN,0
"Climatisation",1360,"Pressostat de climatisation",pressostat-de-climatisation,2,0,G3,"pressostat de climatisation",0,UNKNOWN,0
"Climatisation",2669,"Pulseur d'air d'habitacle",pulseur-d-air-d-habitacle,1,0,G2,"pulseur d'air d'habitacle",0,UNKNOWN,0
"Climatisation",2073,"Valve magnétique",valve-magnetique,2,0,G3,"valve magnétique",0,UNKNOWN,0
"Echappement",429,"Catalyseur",catalyseur,1,0,G2,"catalyseur",0,UNKNOWN,0
"Echappement",1543,"Collecteur d'échappement",collecteur-d-echappement,2,0,G3,"collecteur d'échappement",0,UNKNOWN,0
"Echappement",1256,"FAP",fap,1,0,G2,"fap",0,UNKNOWN,0
"Echappement",138,"Joint d'échappement",joint-d-echappement,2,0,G3,"joint d'échappement",0,UNKNOWN,0
"Echappement",26,"Silencieux",silencieux,1,0,G2,"silencieux",0,UNKNOWN,0
"Echappement",3922,"Sonde lambda",sonde-lambda,1,0,G2,"sonde lambda",0,UNKNOWN,0
"Echappement",17,"Tube d'échappement",tube-d-echappement,1,0,G2,"tube d'échappement",0,UNKNOWN,0
"Eclairage",117,"Ampoule éclairage intérieur",ampoule-eclairage-interieur,2,0,G3,"ampoule éclairage intérieur",0,UNKNOWN,0
"Eclairage",115,"Ampoule feu arrière",ampoule-feu-arriere,2,0,G3,"ampoule feu arrière",0,UNKNOWN,0
"Eclairage",107,"Ampoule feu avant",ampoule-feu-avant,2,0,G3,"ampoule feu avant",0,UNKNOWN,0
"Eclairage",105,"Ampoule feu clignotant",ampoule-feu-clignotant,2,0,G3,"ampoule feu clignotant",0,UNKNOWN,0
"Eclairage",2126,"Ampoule feu de position",ampoule-feu-de-position,2,0,G3,"ampoule feu de position",0,UNKNOWN,0
"Eclairage",114,"Ampoule feu de recul",ampoule-feu-de-recul,2,0,G3,"ampoule feu de recul",0,UNKNOWN,0
"Eclairage",112,"Ampoule feu éclaireur de plaque",ampoule-feu-eclaireur-de-plaque,2,0,G3,"ampoule feu éclaireur de plaque",0,UNKNOWN,0
"Eclairage",111,"Ampoule feu stop",ampoule-feu-stop,2,0,G3,"ampoule feu stop",0,UNKNOWN,0
"Eclairage",1431,"Ballast à lampe xénon",ballast-a-lampe-xenon,2,0,G3,"ballast à lampe xénon",0,UNKNOWN,0
"Eclairage",1432,"Commande correcteur de portée",commande-correcteur-de-portee,2,0,G3,"commande correcteur de portée",0,UNKNOWN,0
"Eclairage",809,"Commande d'éclairage",commande-d-eclairage,1,0,G2,"commande d'éclairage",0,UNKNOWN,0
"Eclairage",807,"Contacteur feu de recul",contacteur-de-feu-de-recul,1,0,G2,"contacteur feu de recul",0,UNKNOWN,0
"Eclairage",700,"Correcteur de portée",correcteur-de-portee,2,0,G3,"correcteur de portée",0,UNKNOWN,0
"Eclairage",290,"Feu arrière",feu-arriere,1,0,G2,"feu arrière",0,UNKNOWN,0
"Eclairage",259,"Feu avant",feu-avant,1,0,G2,"feu avant",0,UNKNOWN,0
"Eclairage",62,"Feu clignotant",feu-clignotant,1,0,G2,"feu clignotant",0,UNKNOWN,0
"Eclairage",289,"Phares antibrouillard",phares-antibrouillard,2,0,G3,"phares antibrouillard",0,UNKNOWN,0
"Eclairage",61,"Relais de clignotant",relais-de-clignotant,2,0,G3,"relais de clignotant",0,UNKNOWN,0
"Accessoires",39,"Attelage",attelage,1,0,G2,"attelage",0,UNKNOWN,0
"Accessoires",297,"Avertisseur sonore",avertisseur-sonore,2,0,G3,"avertisseur sonore",0,UNKNOWN,0
"Accessoires",298,"Balais d'essuie-glace",balais-d-essuie-glace,1,1,G1,"balais d'essuie-glace",0,UNKNOWN,0
"Accessoires",602,"Bouchon réservoir de carburant",bouchon-reservoir-de-carburant,2,0,G3,"bouchon réservoir de carburant",0,UNKNOWN,0
"Accessoires",657,"Boulon de roue",boulon-de-roue,2,0,G3,"boulon de roue",0,UNKNOWN,0
"Accessoires",301,"Bras d'essuie-glace",bras-d-essuie-glace,2,0,G3,"bras d'essuie-glace",0,UNKNOWN,0
"Accessoires",618,"Câble d'accélérateur",cable-d-accelerateur,2,0,G3,"câble d'accélérateur",0,UNKNOWN,0
"Accessoires",1238,"Câble de capot moteur",cable-de-capot-moteur,2,0,G3,"câble de capot moteur",0,UNKNOWN,0
"Accessoires",2232,"Capteur contrôle de pression des pneus",capteur-controle-de-pression-des-pneus,2,0,G3,"capteur contrôle de pression des pneus",0,UNKNOWN,0
"Accessoires",2275,"Capteur de pluie",capteur-de-pluie,2,0,G3,"capteur de pluie",0,UNKNOWN,0
"Accessoires",2623,"Capteur parctronic",capteur-parctronic,2,0,G3,"capteur parctronic",0,UNKNOWN,0
"Accessoires",751,"Commande d'essuie-glace",commande-d-essuie-glace,1,0,G2,"commande d'essuie-glace",0,UNKNOWN,0
"Accessoires",179,"Faisceau d'attelage",faisceau-d-attelage,2,0,G3,"faisceau d'attelage",0,UNKNOWN,0
"Accessoires",864,"Interrupteur verrouilage des portes",interrupteur-verrouilage-des-portes,2,0,G3,"interrupteur verrouilage des portes",0,UNKNOWN,0
"Accessoires",1561,"Lève-vitre",leve-vitre,1,0,G2,"lève-vitre",0,UNKNOWN,0
"Accessoires",295,"Moteur d'essuie-glace",moteur-d-essuie-glace,2,0,G3,"moteur d'essuie-glace",0,UNKNOWN,0
"Accessoires",1209,"Parctronic",parctronic,2,0,G3,"parctronic",0,UNKNOWN,0
"Accessoires",1373,"Poignée de porte",poignee-de-porte,2,0,G3,"poignée de porte",0,UNKNOWN,0
"Accessoires",795,"Pompe nettoyage des phares",pompe-nettoyage-des-phares,2,0,G3,"pompe nettoyage des phares",0,UNKNOWN,0
"Accessoires",794,"Pompe nettoyage des vitres",pompe-nettoyage-des-vitres,2,0,G3,"pompe nettoyage des vitres",0,UNKNOWN,0
