pg_id;gamme;famille;pg_level;pg_top;pg_relfollow;pg_sitemap;pg_display;trends;g_level_actuel;statut_index;action_recommandee;votre_action;notes
1108;"Poulie d'alternateur";"Courroie, galet, poulie et chaîne";1;0;1;1;1;0;G2;INDEX;;;
1067;"Poulie d'arbre à came";"Courroie, galet, poulie et chaîne";1;0;1;0;1;0;G2;INDEX;;;
1389;"Kit de chaîne de distribution";"Courroie, galet, poulie et chaîne";1;0;1;1;1;0;G2;INDEX;;;
1750;"Boîtier de préchauffage";"Préchauffage et allumage";1;0;1;1;1;0;G2;INDEX;;;
683;"Distributeur d'allumage";"Préchauffage et allumage";2;0;0;0;1;0;G3;NOINDEX;;;
286;"Crémaillière de direction";"Direction et liaison au sol";1;0;1;1;1;0;G2;INDEX;;;
3252;"Détecteur de l'angle de braquage";"Direction et liaison au sol";2;0;0;0;1;0;G3;NOINDEX;;;
1632;"Kit de butée de suspension";"Amortisseur et suspension";1;0;1;0;1;0;G2;INDEX;;;
1182;"Butée élastique d'amortisseur";"Amortisseur et suspension";1;0;0;0;1;0;G2;INDEX;;;
1718;"Sphère de suspension";"Amortisseur et suspension";2;0;1;0;1;0;G3;NOINDEX;;;
620;"Récepteur d'embrayage";"Embrayage";1;0;1;1;1;0;G2;INDEX;;;
3419;"Fourchette d'embrayage";"Embrayage";2;0;0;0;1;0;G3;NOINDEX;;;
1650;"Tringle de vitesses";"Embrayage";2;0;0;0;1;0;G3;NOINDEX;;;
624;"Bague d'étanchéité cardan";"Transmission";2;0;0;0;1;0;G3;NOINDEX;;;
2109;"Palier d'arbre de transmission";"Transmission";2;0;0;0;1;0;G3;NOINDEX;;;
1427;"Joint arbre longitudinal";"Transmission";2;0;0;0;1;0;G3;NOINDEX;;;
682;"Contacteur démarreur";"Système électrique";2;0;0;0;1;0;G3;NOINDEX;;;
805;"Pressostat d'huile";"Capteurs";1;0;1;0;1;0;G2;INDEX;;;
4175;"Capteur pression et température d'huile";"Capteurs";1;0;0;0;1;0;G2;INDEX;;;
1289;"Capteur niveau d'huile moteur";"Capteurs";1;0;1;0;1;0;G2;INDEX;;;
3921;"Capteur de cognement";"Capteurs";1;0;1;0;1;0;G2;INDEX;;;
3939;"Capteur température d'air admission";"Capteurs";1;0;1;0;1;0;G2;INDEX;;;
3947;"Capteur pression du tuyau d'admission";"Capteurs";1;0;0;0;1;0;G2;INDEX;;;
1298;"Valve de réglage du ralenti";"Capteurs";1;0;1;0;1;0;G2;INDEX;;;
806;"Interrupteur des feux de freins";"Capteurs";1;0;1;1;1;0;G2;INDEX;;;
3908;"Capteur de pédale d'accélérateur";"Capteurs";2;0;1;1;1;0;G3;NOINDEX;;;
2197;"Interrupteur position de marche";"Capteurs";2;0;0;0;1;0;G3;NOINDEX;;;
4272;"Capteur pression de gaz d'échappement";"Capteurs";2;0;0;0;1;0;G3;NOINDEX;;;
3996;"Capteur de pression Common Rail";"Capteurs";2;0;0;0;1;0;G3;NOINDEX;;;
3893;"Joint de pompe d'injection";"Système d'alimentation";2;0;0;0;1;0;G3;NOINDEX;;;
1303;"Accumulateur de pression de carburant";"Système d'alimentation";2;0;0;0;1;0;G3;NOINDEX;;;
3640;"Refroidisseur de carburant";"Système d'alimentation";2;0;0;0;1;0;G3;NOINDEX;;;
3916;"Conduite à haute pression d'injection";"Système d'alimentation";2;0;0;0;1;0;G3;NOINDEX;;;
3937;"Tuyau carburant de fuite";"Système d'alimentation";2;0;0;0;1;0;G3;NOINDEX;;;
5656;"Soupape de rampe commune d'injection";"Système d'alimentation";2;0;0;0;1;0;G3;NOINDEX;;;
904;"Soupape d'air secondaire";"Système d'alimentation";2;0;0;0;1;0;G3;NOINDEX;;;
1136;"Soupape d'aspiration d'air secondaire";"Système d'alimentation";2;0;0;0;1;0;G3;NOINDEX;;;
1137;"Soupape réaspiration des gaz d'échappement";"Système d'alimentation";2;0;0;0;1;0;G3;NOINDEX;;;
3874;"Bagues d'étanchéité moteur";"Moteur";1;0;1;0;1;0;G2;INDEX;;;
1269;"Soupape d'admission";"Moteur";1;0;1;0;1;0;G2;INDEX;;;
1216;"Poussoir de soupape";"Moteur";1;0;1;0;1;0;G2;INDEX;;;
560;"Pochette joints moteur";"Moteur";2;0;0;0;1;0;G3;NOINDEX;;;
128;"Joint chemise de cylindre";"Moteur";2;0;0;0;1;0;G3;NOINDEX;;;
568;"Joint carter de distribution";"Moteur";2;0;0;0;1;0;G3;NOINDEX;;;
3320;"Kit de poussoir culbuteur";"Moteur";2;0;0;0;1;0;G3;NOINDEX;;;
322;"Joint tige de soupape";"Moteur";2;0;0;0;1;0;G3;NOINDEX;;;
599;"Jauge de niveau d'huile";"Moteur";2;0;0;0;1;0;G3;NOINDEX;;;
626;"Bague d'étanchéité boîte automatique";"Moteur";2;0;0;0;1;0;G3;NOINDEX;;;
2197;"Interrupteur position de marche";"Moteur";2;0;0;0;1;0;G3;NOINDEX;;;
3072;"Mécatronique boîte automatique";"Moteur";2;0;0;0;1;0;G3;NOINDEX;;;
2669;"Pulseur d'air d'habitacle";"Refroidissement";1;0;1;1;1;0;G2;INDEX;;;
792;"Moteur électrique de ventilateur";"Refroidissement";2;0;0;0;1;0;G3;NOINDEX;;;
2669;"Pulseur d'air d'habitacle";"Climatisation";1;0;1;1;1;0;G2;INDEX;;;
471;"Evaporateur de climatisation";"Climatisation";1;0;1;0;1;0;G2;INDEX;;;
851;"Bouteille déshydratante";"Climatisation";1;0;1;0;1;0;G2;INDEX;;;
2054;"Capteur température de climatisation";"Climatisation";1;0;0;0;1;0;G2;INDEX;;;
1360;"Pressostat de climatisation";"Climatisation";2;0;0;0;1;0;G3;NOINDEX;;;
2094;"Conduite de climatisation";"Climatisation";2;0;0;0;1;0;G3;NOINDEX;;;
2073;"Valve magnétique";"Climatisation";2;0;0;0;1;0;G3;NOINDEX;;;
2408;"Gicleur détendeur";"Climatisation";2;0;0;0;1;0;G3;NOINDEX;;;
138;"Joint d'échappement";"Echappement";2;0;0;0;1;0;G3;NOINDEX;;;
289;"Phares antibrouillard";"Eclairage";2;0;0;0;1;0;G3;NOINDEX;;;
807;"Contacteur feu de recul";"Eclairage";1;0;1;0;1;0;G2;INDEX;;;
809;"Commande d'éclairage";"Eclairage";1;0;1;0;1;0;G2;INDEX;;;
117;"Ampoule éclairage intérieur";"Eclairage";2;0;0;0;1;0;G3;NOINDEX;;;
112;"Ampoule feu éclaireur de plaque";"Eclairage";2;0;0;0;1;0;G3;NOINDEX;;;
61;"Relais de clignotant";"Eclairage";2;0;0;0;1;0;G3;NOINDEX;;;
700;"Correcteur de portée";"Eclairage";2;0;0;0;1;0;G3;NOINDEX;;;
1432;"Commande correcteur de portée";"Eclairage";2;0;0;0;1;0;G3;NOINDEX;;;
751;"Commande d'essuie-glace";"Accessoires";1;0;0;0;1;0;G2;INDEX;;;
300;"Tringlerie d'essuie-glace";"Accessoires";2;0;0;0;1;0;G3;NOINDEX;;;
794;"Pompe nettoyage des vitres";"Accessoires";2;0;0;0;1;0;G3;NOINDEX;;;
795;"Pompe nettoyage des phares";"Accessoires";2;0;0;0;1;0;G3;NOINDEX;;;
514;"Vérin capot moteur";"Accessoires";2;0;0;0;1;0;G3;NOINDEX;;;
2454;"Vérin vitre arrière";"Accessoires";2;0;0;0;1;0;G3;NOINDEX;;;
1238;"Câble de capot moteur";"Accessoires";2;0;0;0;1;0;G3;NOINDEX;;;
179;"Faisceau d'attelage";"Accessoires";2;0;0;0;1;0;G3;NOINDEX;;;
602;"Bouchon réservoir de carburant";"Accessoires";2;0;0;0;1;0;G3;NOINDEX;;;
864;"Interrupteur verrouilage des portes";"Accessoires";2;0;0;0;1;0;G3;NOINDEX;;;
1209;"Parctronic";"Accessoires";2;0;0;0;1;0;G3;NOINDEX;;;
2232;"Capteur contrôle de pression des pneus";"Accessoires";2;0;0;0;1;0;G3;NOINDEX;;;
3314;"Gaine de turbo";"Turbo";2;0;0;0;1;0;G3;NOINDEX;;;
4314;"Valve de turbo";"Turbo";2;0;0;0;1;0;G3;NOINDEX;;;
3553;"Capteur de pression turbo";"Turbo";2;0;0;0;1;0;G3;NOINDEX;;;
1147;"Trépied arbre de commande";"Transmission";2;0;0;0;1;0;G3;NOINDEX;;;
