famille,pg_id,gamme,alias,pg_level,pg_top,g_level_estime,keyword,trends_index
"Système d'alimentation",903,"Pompe à air",pompe-a-air,2,0,G3,"pompe à air",9
"Système d'alimentation",458,"Pompe à carburant",pompe-a-carburant,1,1,G1,"pompe à carburant",2
"Système d'alimentation",3918,"Pompe à haute pression",pompe-a-haute-pression,2,0,G3,"pompe à haute pression",2
"Système d'alimentation",3904,"Pompe à injection",pompe-a-injection,2,0,G3,"pompe à injection",71
"Système d'alimentation",862,"Pompe d'amorcage",pompe-d-amorcage,2,0,G3,"pompe d'amorcage",1
"Système d'alimentation",3640,"Refroidisseur de carburant",refroidisseur-de-carburant,2,0,G3,"refroidisseur de carburant",0
"Système d'alimentation",168,"Régulateur de pression carburant",regulateur-de-pression-carburant,2,0,G3,"régulateur de pression carburant",5
"Système d'alimentation",904,"Soupape d'air secondaire",soupape-d-air-secondaire,2,0,G3,"soupape d'air secondaire",0
"Système d'alimentation",1136,"Soupape d'aspiration d'air secondaire",soupape-d-aspiration-d-air-secondaire,2,0,G3,"soupape d'aspiration d'air secondaire",0
"Système d'alimentation",5656,"Soupape de rampe commune d'injection",soupape-de-rampe-commune-d-injection,2,0,G3,"soupape de rampe commune d'injection",0
"Système d'alimentation",1137,"Soupape réaspiration des gaz d'échappement",soupape-reaspiration-des-gaz-d-echappement,2,0,G3,"soupape réaspiration des gaz d'échappement",0
"Système d'alimentation",3964,"Tube de distributeur carburant",tube-de-distributeur-carburant,2,0,G3,"tube de distributeur carburant",2
"Système d'alimentation",3937,"Tuyau carburant de fuite",tuyau-carburant-de-fuite,2,0,G3,"tuyau carburant de fuite",0
"Système d'alimentation",1145,"Vanne EGR",vanne-egr,1,1,G1,"vanne egr",87
"Moteur",566,"Arbre à came",arbre-a-came,2,0,G3,"arbre à came",7
"Moteur",626,"Bague d'étanchéité boîte automatique",bague-d-etancheite-boite-automatique,2,0,G3,"bague d'étanchéité boîte automatique",0
"Moteur",3874,"Bagues d'étanchéité moteur",bagues-d-etancheite-moteur,1,0,G2,"bagues d'étanchéité moteur",0
"Moteur",593,"Bouchon de vidange",bouchon-de-vidange,2,0,G3,"bouchon de vidange",44
"Moteur",592,"Carter d'huile",carter-d-huile,1,0,G2,"carter d'huile",28
"Moteur",432,"Culbuteur",culbuteur,2,0,G3,"culbuteur",80
"Moteur",2197,"Interrupteur position de marche",interrupteur-position-de-marche,2,0,G3,"interrupteur position de marche",0
"Moteur",599,"Jauge de niveau d'huile",jauge-de-niveau-d-huile,2,0,G3,"jauge de niveau d'huile",0
"Moteur",568,"Joint carter de distribution",joint-carter-de-distribution,2,0,G3,"joint carter de distribution",0
"Moteur",128,"Joint chemise de cylindre",joint-chemise-de-cylindre,2,0,G3,"joint chemise de cylindre",0
"Moteur",146,"Joint de boîte vitesse",joint-de-boite-vitesse,2,0,G3,"joint de boîte vitesse",9
"Moteur",321,"Joint de cache culbuteurs",joint-de-cache-culbuteurs,1,0,G2,"joint de cache culbuteurs",1
"Moteur",455,"Joint de carter d'huile",joint-de-carter-d-huile,2,0,G3,"joint de carter d'huile",7
"Moteur",40,"Joint de collecteur",joint-de-collecteur,1,0,G2,"joint de collecteur",1
"Moteur",318,"Joint de culasse",joint-de-culasse,1,0,G2,"joint de culasse",80
"Moteur",322,"Joint tige de soupape",joint-tige-de-soupape,2,0,G3,"joint tige de soupape",0
"Moteur",3320,"Kit de poussoir culbuteur",kit-de-poussoir-culbuteur,2,0,G3,"kit de poussoir culbuteur",0
"Moteur",3072,"Mécatronique boîte automatique",mecatronique-boite-automatique,2,0,G3,"mécatronique boîte automatique",0
"Moteur",560,"Pochette joints moteur",pochette-joints-moteur,2,0,G3,"pochette joints moteur",0
"Moteur",596,"Pompe à huile",pompe-a-huile,2,0,G3,"pompe à huile",16
"Moteur",1216,"Poussoir de soupape",poussoir-de-soupape,1,0,G2,"poussoir de soupape",0
"Moteur",469,"Radiateur d'huile",radiateur-d-huile,2,0,G3,"radiateur d'huile",25
"Moteur",1269,"Soupape d'admission",soupape-d-admission,1,0,G2,"soupape d'admission",0
"Moteur",1270,"Soupape d'échappement",soupape-d-echappement,1,0,G2,"soupape d'échappement",1
"Moteur",1533,"Vis de culasse",vis-de-culasse,1,0,G2,"vis de culasse",17
"Refroidissement",548,"Bouchon de radiateur",bouchon-de-radiateur,2,0,G3,"bouchon de radiateur",40
"Refroidissement",56,"Bouchon vase d'expansion",bouchon-vase-d-expansion,2,0,G3,"bouchon vase d'expansion",4
"Refroidissement",3219,"Bride de liquide de refroidissement",bride-de-liquide-de-refroidissement,2,0,G3,"bride de liquide de refroidissement",2
"Refroidissement",1385,"Commande de ventilation",commande-de-ventilation,1,0,G2,"commande de ventilation",1
"Refroidissement",475,"Durite de refroidissement",durite-de-refroidissement,1,0,G2,"durite de refroidissement",12
"Refroidissement",792,"Moteur électrique de ventilateur",moteur-electrique-de-ventilateur,2,0,G3,"moteur électrique de ventilateur",0
"Refroidissement",1260,"Pompe à eau",pompe-a-eau,1,1,G1,"pompe à eau",74
"Refroidissement",2669,"Pulseur d'air d'habitacle",pulseur-d-air-d-habitacle,1,0,G2,"pulseur d'air d'habitacle",0
"Refroidissement",467,"Radiateur de chauffage",radiateur-de-chauffage,1,0,G2,"radiateur de chauffage",4
"Refroidissement",470,"Radiateur de refroidissement",radiateur-de-refroidissement,1,1,G1,"radiateur de refroidissement",1
"Refroidissement",830,"Sonde de refroidissement",sonde-de-refroidissement,1,0,G2,"sonde de refroidissement",1
"Refroidissement",316,"Thermostat",thermostat,1,0,G2,"thermostat",50
"Refroidissement",397,"Vase d'expansion",vase-d-expansion,2,0,G3,"vase d'expansion",4
"Refroidissement",508,"Ventilateur de refroidissement",ventilateur-de-refroidissement,1,0,G2,"ventilateur de refroidissement",17
"Climatisation",851,"Bouteille déshydratante",bouteille-deshydratante,1,0,G2,"bouteille déshydratante",0
"Climatisation",2054,"Capteur température de climatisation",capteur-temperature-de-climatisation,1,0,G2,"capteur température de climatisation",0
"Climatisation",1385,"Commande de ventilation",commande-de-ventilation,1,0,G2,"commande de ventilation",1
"Climatisation",447,"Compresseur de climatisation",compresseur-de-climatisation,1,1,G1,"compresseur de climatisation",22
"Climatisation",448,"Condenseur de climatisation",condenseur-de-climatisation,1,0,G2,"condenseur de climatisation",2
"Climatisation",2094,"Conduite de climatisation",conduite-de-climatisation,2,0,G3,"conduite de climatisation",0
"Climatisation",183,"Détendeur de climatisation",detendeur-de-climatisation,1,0,G2,"détendeur de climatisation",1
"Climatisation",471,"Evaporateur de climatisation",evaporateur-de-climatisation,1,0,G2,"evaporateur de climatisation",0
"Climatisation",424,"Filtre d'habitacle",filtre-d-habitacle,1,0,G2,"filtre d'habitacle",57
"Climatisation",2408,"Gicleur détendeur",gicleur-detendeur,2,0,G3,"gicleur détendeur",0
"Climatisation",1360,"Pressostat de climatisation",pressostat-de-climatisation,2,0,G3,"pressostat de climatisation",0
"Climatisation",2669,"Pulseur d'air d'habitacle",pulseur-d-air-d-habitacle,1,0,G2,"pulseur d'air d'habitacle",0
"Climatisation",2073,"Valve magnétique",valve-magnetique,2,0,G3,"valve magnétique",0
"Echappement",429,"Catalyseur",catalyseur,1,0,G2,"catalyseur",77
"Echappement",1543,"Collecteur d'échappement",collecteur-d-echappement,2,0,G3,"collecteur d'échappement",1
"Echappement",1256,"FAP",fap,1,0,G2,"fap",40
"Echappement",138,"Joint d'échappement",joint-d-echappement,2,0,G3,"joint d'échappement",0
"Echappement",26,"Silencieux",silencieux,1,0,G2,"silencieux",34
"Echappement",3922,"Sonde lambda",sonde-lambda,1,0,G2,"sonde lambda",6
"Echappement",17,"Tube d'échappement",tube-d-echappement,1,0,G2,"tube d'échappement",2
"Eclairage",117,"Ampoule éclairage intérieur",ampoule-eclairage-interieur,2,0,G3,"ampoule éclairage intérieur",0
"Eclairage",115,"Ampoule feu arrière",ampoule-feu-arriere,2,0,G3,"ampoule feu arrière",65
"Eclairage",107,"Ampoule feu avant",ampoule-feu-avant,2,0,G3,"ampoule feu avant",45
"Eclairage",105,"Ampoule feu clignotant",ampoule-feu-clignotant,2,0,G3,"ampoule feu clignotant",3
"Eclairage",2126,"Ampoule feu de position",ampoule-feu-de-position,2,0,G3,"ampoule feu de position",16
"Eclairage",114,"Ampoule feu de recul",ampoule-feu-de-recul,2,0,G3,"ampoule feu de recul",5
"Eclairage",112,"Ampoule feu éclaireur de plaque",ampoule-feu-eclaireur-de-plaque,2,0,G3,"ampoule feu éclaireur de plaque",0
"Eclairage",111,"Ampoule feu stop",ampoule-feu-stop,2,0,G3,"ampoule feu stop",75
"Eclairage",1431,"Ballast à lampe xénon",ballast-a-lampe-xenon,2,0,G3,"ballast à lampe xénon",1
"Eclairage",1432,"Commande correcteur de portée",commande-correcteur-de-portee,2,0,G3,"commande correcteur de portée",0
"Eclairage",809,"Commande d'éclairage",commande-d-eclairage,1,0,G2,"commande d'éclairage",0
"Eclairage",807,"Contacteur feu de recul",contacteur-de-feu-de-recul,1,0,G2,"contacteur feu de recul",0
"Eclairage",700,"Correcteur de portée",correcteur-de-portee,2,0,G3,"correcteur de portée",0
"Eclairage",290,"Feu arrière",feu-arriere,1,0,G2,"feu arrière",87
"Eclairage",259,"Feu avant",feu-avant,1,0,G2,"feu avant",11
"Eclairage",62,"Feu clignotant",feu-clignotant,1,0,G2,"feu clignotant",4
"Eclairage",289,"Phares antibrouillard",phares-antibrouillard,2,0,G3,"phares antibrouillard",0
"Eclairage",61,"Relais de clignotant",relais-de-clignotant,2,0,G3,"relais de clignotant",0
"Accessoires",39,"Attelage",attelage,1,0,G2,"attelage",74
"Accessoires",297,"Avertisseur sonore",avertisseur-sonore,2,0,G3,"avertisseur sonore",42
"Accessoires",298,"Balais d'essuie-glace",balais-d-essuie-glace,1,1,G1,"balais d'essuie-glace",4
"Accessoires",602,"Bouchon réservoir de carburant",bouchon-reservoir-de-carburant,2,0,G3,"bouchon réservoir de carburant",0
"Accessoires",657,"Boulon de roue",boulon-de-roue,2,0,G3,"boulon de roue",64
"Accessoires",301,"Bras d'essuie-glace",bras-d-essuie-glace,2,0,G3,"bras d'essuie-glace",3
"Accessoires",618,"Câble d'accélérateur",cable-d-accelerateur,2,0,G3,"câble d'accélérateur",5
"Accessoires",1238,"Câble de capot moteur",cable-de-capot-moteur,2,0,G3,"câble de capot moteur",0
"Accessoires",2232,"Capteur contrôle de pression des pneus",capteur-controle-de-pression-des-pneus,2,0,G3,"capteur contrôle de pression des pneus",0
"Accessoires",2275,"Capteur de pluie",capteur-de-pluie,2,0,G3,"capteur de pluie",35
"Accessoires",2623,"Capteur parctronic",capteur-parctronic,2,0,G3,"capteur parctronic",1
"Accessoires",751,"Commande d'essuie-glace",commande-d-essuie-glace,1,0,G2,"commande d'essuie-glace",0
"Accessoires",179,"Faisceau d'attelage",faisceau-d-attelage,2,0,G3,"faisceau d'attelage",0
"Accessoires",864,"Interrupteur verrouilage des portes",interrupteur-verrouilage-des-portes,2,0,G3,"interrupteur verrouilage des portes",0
"Accessoires",1561,"Lève-vitre",leve-vitre,1,0,G2,"lève-vitre",61
"Accessoires",295,"Moteur d'essuie-glace",moteur-d-essuie-glace,2,0,G3,"moteur d'essuie-glace",6
"Accessoires",1209,"Parctronic",parctronic,2,0,G3,"parctronic",0
"Accessoires",1373,"Poignée de porte",poignee-de-porte,2,0,G3,"poignée de porte",82
"Accessoires",795,"Pompe nettoyage des phares",pompe-nettoyage-des-phares,2,0,G3,"pompe nettoyage des phares",0
"Accessoires",794,"Pompe nettoyage des vitres",pompe-nettoyage-des-vitres,2,0,G3,"pompe nettoyage des vitres",0
"Accessoires",50,"Rétroviseur  extérieur",retroviseur-exterieur,1,0,G2,"rétroviseur  extérieur",6
"Accessoires",1361,"Serrure de porte",serrure-de-porte,2,0,G3,"serrure de porte",85
"Accessoires",300,"Tringlerie d'essuie-glace",tringlerie-d-essuie-glace,2,0,G3,"tringlerie d'essuie-glace",0
"Accessoires",514,"Vérin capot moteur",verin-capot-moteur,2,0,G3,"vérin capot moteur",0
"Accessoires",5032,"Vérin de coffre",verin-de-coffre,2,0,G3,"vérin de coffre",4
"Accessoires",2454,"Vérin vitre arrière",verin-vitre-arriere,2,0,G3,"vérin vitre arrière",0
"Turbo",3553,"Capteur de pression turbo",capteur-de-pression-turbo,2,0,G3,"capteur de pression turbo",0
"Turbo",3314,"Gaine de turbo",gaine-de-turbo,2,0,G3,"gaine de turbo",0
"Turbo",468,"Intercooler",intercooler,2,0,G3,"intercooler",2
"Turbo",2234,"Turbo",turbo,1,1,G1,"turbo",79
"Turbo",4314,"Valve de turbo",valve-de-turbo,2,0,G3,"valve de turbo",0
